ts	phase	decision	why	evidence	result
2026-09-08T15:55:24Z	audit	only adw_quality and adw_prompt have gold-vs-port runs; make_adw and make_config have none	the other ten ADWs are thin wrappers and were not each executed against gold	.claude/skills/sssf/tools/parity/e2e.test.ts	open
2026-09-08T15:55:24Z	audit	did not import the engine worker /tmp/sssf-diff cases for parse retry, permission skip, or SIGTERM	those cases lived outside the repo and were never copied into tools/parity	.claude/skills/sssf/design/PARITY.md	open
2026-09-08T15:55:24Z	audit	stdout cost is normalized to $<COST> so a wrong dollar amount would not fail the fake_pi stdout check	sqlite payload still compares numeric cost fields; stdout dollars are blanked	.claude/skills/sssf/tools/parity/normalize.ts	open
2026-09-08T15:55:24Z	audit	copied Python SCHEMA comments into tracer.ts so sqlite .dump DDL matches	without the comments the dump failed before any row comparison	.claude/skills/sssf/templates/adws/adw_modules/tracer.ts	tests green
2026-09-08T15:55:24Z	audit	no commit and no PR on this run	user did not ask to commit	.git	open
2026-09-08T15:56:30Z	audit	re-ran bun test ./.claude/skills/sssf/tools/parity/ this session, 32 pass 0 fail across 7 files	row 21 claimed 32 pass from an earlier run; this run confirmed it	bun test ./.claude/skills/sssf/tools/parity/	tests green
2026-09-08T15:56:42Z	audit	parent transcript is thin; late worker detail is in subagents 22875b49, e6b6b7bd, 349fde17, 1f5703bd	a reviewer who only reads the parent jsonl cannot corroborate rows after the first swap	agent-transcripts/efdcd4f8-8bb0-4374-9541-0fb767ba8d70/	open
2026-09-08T15:58:50Z	audit	session compare checks filenames only, not envelope.json or prompt bytes	row 1 and the fake_pi row read as handoff parity; compare.ts only diffs Object.keys(files)	.claude/skills/sssf/tools/parity/compare.ts	open
2026-09-08T15:58:50Z	audit	make_adw.ts emits return run.finish() while Python gold emits run.succeeded	deliberate because run.succeeded does not type-check; PARITY.md still lists the Python bug as a gold case and there is no generator test	.claude/skills/sssf/scripts/make_adw.ts	open
2026-09-08T15:58:50Z	audit	install.test.ts checks dest names, twelve ADW filenames, and a few shared paths, not every stamped file body	row 12 overstated dest equality as content equality	.claude/skills/sssf/tools/parity/install.test.ts	open
2026-09-08T15:58:50Z	audit	three shipped ADWs still mention quality.py or changes.py in their module comments	cookbook .py leftovers were cleaned; these comment strings were not	.claude/skills/sssf/templates/adws/adw_plan_build_test.ts	open
2026-09-16T00:00:00Z	c	signalDoor kills live agent children and runs cleanup hooks before sessionFinish/exit; Python orphans the child	Node cannot raise SystemExit inside an awaiting phase the way Python does; coordinator-approved deviation so just procs is truthful and copilot agent files unlink	.claude/skills/sssf/templates/adws/adw_modules/runner.ts	kept
2026-09-23T00:00:00Z	c	a missing pi binary says it is not runnable, not that the model is unregistered	Python prints model pattern not found when pi --list-models fails and the catalog is empty; coordinator approved reporting the probe failure the way claude_code and copilot do	.claude/skills/sssf/templates/adws/adw_modules/agentPi.ts	kept
2026-09-23T00:00:00Z	harness	move the parity harness to tools/parity/	the skill directory ships only the product; rows above keep the path that was true when they were written	tools/parity/	kept
2026-09-24T00:00:00Z	spec	the TypeScript port is the spec from 2026-09-24; gold retired at tag python-gold-final; behavior pinned by snapshots	a byte change is a snapshot update in the same commit	tools/parity/	kept
2026-09-24T20:24:50Z	layout	named folders, one concern per file, scripts are their phases, code map stamped with the engine	a newcomer could not find the engine under templates/ or the harness under tools/parity; placement only, and the e2e bytes stay put except the empty-roster available line	.claude/skills/sssf/factory/adws/adw_modules/README.md	kept
